|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std
0|#esc|2010-05-29|5|False|60.82111862967405
1|#twittboat|2010-07-04|4|False|231.30003077412488
2|#twittboat|2010-07-03|4|False|214.1751693652545
3|#worldcup|2010-06-16|4|False|108.75589979739372
4|#Gotthard|2010-10-15|3|False|140.64017607705176
5|#muse|2010-06-02|3|False|136.4442015017743
6|#bcch5|2010-09-04|3|False|130.23499725322918
7|#ger|2010-07-07|3|False|85.85146767023717
8|#ff|2010-12-03|2|False|105.32286314729205
9|#swisscrmforum|2010-06-24|1|True|135.0385973972308
10|#mcw|2010-06-12|1|True|114.1560941644227
11|#bosw|2010-03-25|1|True|100.4235689959112
12|#IABC|2010-12-08|1|True|32.59626529391225
13|#schwstv|2010-09-04|1|True|12.909829265589329
