|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#ipad2|2011-03-25|10|False|216.86853688700256|('47.375', '8.539')
1|#tedxzh|2011-10-04|10|False|173.80296425517292|('47.416', '8.561')
2|#bosw|2011-03-31|9|False|143.11174300879222|('47.365', '8.538')
3|#lift11|2011-02-03|8|False|318.43010761421834|('46.220', '6.138')
4|#fec11|2011-09-09|8|False|275.3290491862215|('47.377', '8.537')
5|#lift11|2011-02-02|8|False|269.85483039754706|('46.220', '6.138')
6|#lift11|2011-02-04|7|False|227.93561998517188|('46.232', '6.079')
7|#ew11|2011-10-23|7|False|195.8634472165635|('47.408', '8.724')
8|#pokert|2011-02-08|7|False|93.94334301284239|('47.374', '8.525')
9|#pokert|2011-11-15|5|False|203.72460540833967|('47.377', '8.537')
10|#smgzh|2011-06-01|4|False|67.99039831504554|('47.365', '8.548')
11|#som11|2011-03-31|4|False|40.67921604698495|('47.389', '8.519')
12|#erugf|2011-07-31|3|False|243.46423426649443|('46.897', '7.408')
13|#pokert|2011-06-21|3|False|230.32994581897555|('47.374', '8.525')
14|#fb|2011-03-27|3|False|155.2666550379272|('47.790', '7.350')
15|#smmk11|2011-03-24|3|False|140.23094324175412|('47.366', '8.538')
16|#chch|2011-07-31|3|False|133.11003727487878|('46.897', '7.408')
17|#odch11|2011-06-24|3|False|113.05739095561758|('46.939', '7.443')
18|#migipedia|2011-03-31|3|False|76.56753370640807|('47.365', '8.539')
19|#smgzh|2011-09-07|3|False|47.7639356046426|('47.365', '8.547')
20|#swlau|2011-03-20|3|False|40.86605467489312|('46.518', '6.568')
21|#pokert|2011-04-05|3|False|15.580476474278056|('47.374', '8.524')
22|#android|2011-08-02|2|False|350.14408595023554|('47.500', '8.750')
23|#jan25|2011-01-30|2|False|344.3840313518762|('47.388', '8.618')
24|#egypt|2011-01-30|2|False|316.40133326041115|('47.388', '8.618')
25|#oasg|2011-07-02|2|False|294.6179486157077|('47.423', '9.322')
26|#rhok|2011-06-04|2|False|277.390058871623|('47.560', '7.613')
27|#scs11|2011-02-19|2|False|181.2885612619959|('47.530', '7.588')
28|#fb|2011-08-12|2|False|176.6654769884275|('47.226', '8.819')
29|#mdw11|2011-11-30|2|False|163.72802625042883|('46.209', '6.139')
30|#som11|2011-03-30|2|False|146.67971773676166|('47.390', '8.517')
31|#gdi|2011-01-26|2|False|102.18068207896957|('47.302', '8.553')
32|#tedxrc2|2011-11-27|2|False|83.90588597123143|('46.205', '6.137')
33|#ff|2011-12-30|2|False|77.00442219331553|('46.488', '6.563')
34|#gch|2011-03-09|2|False|50.71696209491329|('47.365', '8.524')
35|#fcz|2011-10-30|2|False|42.40278517357315|('47.382', '8.505')
36|#xf11|2011-08-24|2|False|40.38733477064985|('47.411', '8.553')
37|#chtd|2011-05-03|2|False|38.06044461700948|('47.562', '7.599')
38|#fcz|2011-10-02|2|False|33.02080505881732|('47.382', '8.504')
39|#20peopleilove|2011-05-22|2|False|25.092992633820856|('47.366', '8.556')
40|#missch|2011-09-24|2|False|23.870551101232312|('47.408', '8.724')
41|#jan25|2011-01-28|1|True|352.732414003716|('47.377', '8.537')
42|#oasg|2011-07-03|1|True|338.71500508275375|('47.414', '9.327')
43|#zvilla|2011-06-18|1|True|229.1981869678885|('47.226', '8.819')
44|#11icml|2011-06-15|1|True|222.09337179452638|('46.005', '8.957')
45|#utmb2011|2011-08-25|1|True|198.3342916254471|('45.923', '6.872')
46|#osx|2011-09-11|1|True|143.72269061578103|('47.500', '8.750')
47|#sonntagsprojekt|2011-07-24|1|True|125.79214789437091|('47.377', '8.537')
48|#imkforum|2011-12-01|1|True|124.88030046151948|('46.854', '9.514')
49|#denkfest|2011-09-10|1|True|109.31622007836816|('47.375', '8.528')
50|#11icml|2011-06-16|1|True|108.53589431057749|('46.005', '8.957')
51|#dtzh|2011-07-06|1|True|96.78115113386242|('47.387', '8.500')
52|#scbrühl|2011-06-11|1|True|95.47776581713727|('47.434', '9.406')
53|#emex11|2011-08-24|1|True|93.75073517651555|('47.412', '8.553')
54|#marktplatzsg|2011-05-15|1|True|77.10398967475957|('47.424', '9.363')
55|#igep|2011-11-17|1|True|68.82026245449487|('46.854', '9.514')
56|#titlis|2011-10-05|1|True|54.563854290283935|('46.771', '8.423')
57|#moonandstars|2011-07-12|1|True|40.043490150023906|('46.170', '8.795')
58|#awesomezh1|2011-07-22|1|True|39.97568070728717|('47.370', '8.549')
59|#gc|2011-10-02|1|True|34.10135921949866|('47.382', '8.504')
60|#letzigrund|2011-10-02|1|True|34.10135921949866|('47.382', '8.504')
61|#gklol|2011-12-15|1|True|28.116387721458842|('46.109', '7.122')
62|#wettendass|2011-11-05|1|True|26.595912500389886|('47.481', '8.696')
63|#pirtage|2011-11-18|1|True|20.92221189590823|('45.919', '6.158')
64|#heimfahrt|2011-05-27|1|True|17.91621223220765|('47.144', '8.896')
65|#velo|2011-05-27|1|True|17.91621223220765|('47.144', '8.896')
66|#iae|2011-11-18|1|True|9.707682602398775|('45.919', '6.158')
67|#filmcommissionvda|2011-11-29|1|True|6.955441292991187|('45.734', '7.293')
