|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
513720|2015-12-15|('46.948', '7.445')|#job|20|False|16|205.47451440371978
513718|2015-12-15|('46.948', '7.445')|#hiring|19|False|15|207.86444752700348
454365|2015-11-15|('46.948', '7.445')|#hiring|18|False|15|203.06795039098247
454367|2015-11-15|('46.948', '7.445')|#job|19|False|15|201.60459811910025
234180|2015-07-04|('46.948', '7.445')|#job|18|False|15|200.28320642117856
382400|2015-09-12|('46.948', '7.445')|#job|20|False|15|179.48255083093116
533741|2015-12-27|('46.948', '7.445')|#job|19|False|15|176.73233704277786
520904|2015-12-19|('46.948', '7.445')|#job|20|False|15|167.0006394927044
305195|2015-08-09|('46.948', '7.445')|#job|17|False|15|149.5031218178901
426300|2015-11-01|('46.948', '7.445')|#job|19|False|14|227.79165906249202
337107|2015-08-24|('46.948', '7.445')|#job|19|False|14|219.28446747945236
265471|2015-07-20|('46.948', '7.445')|#job|17|False|14|209.18964103644095
506096|2015-12-11|('46.948', '7.445')|#job|20|False|14|204.12915498254748
496346|2015-12-06|('46.948', '7.445')|#job|19|False|14|197.11518001427262
513719|2015-12-15|('46.948', '7.445')|#bern|17|False|14|193.52825294664683
222846|2015-06-29|('46.948', '7.445')|#job|17|False|14|177.88033642021065
452193|2015-11-14|('46.948', '7.445')|#job|16|False|14|175.88584444968214
275595|2015-07-25|('46.948', '7.445')|#job|18|False|14|169.93019537616908
373893|2015-09-08|('46.948', '7.445')|#job|18|False|14|149.83592806635588
411107|2015-10-25|('46.948', '7.445')|#job|15|False|14|122.17691020669298
357246|2015-08-31|('46.948', '7.445')|#job|18|False|13|243.40254152786127
384428|2015-09-13|('46.948', '7.445')|#job|17|False|13|217.48056143056507
321186|2015-08-17|('46.948', '7.445')|#job|19|False|13|213.82191907723146
485820|2015-11-30|('46.948', '7.445')|#job|19|False|13|212.96142118805273
345287|2015-08-27|('46.948', '7.445')|#job|17|False|13|212.8447119864796
435192|2015-11-06|('46.948', '7.445')|#job|16|False|13|212.61388443157142
390742|2015-09-16|('46.948', '7.445')|#job|17|False|13|209.51505315618454
494691|2015-12-05|('46.948', '7.445')|#job|16|False|13|196.27267553004475
311083|2015-08-12|('46.948', '7.445')|#job|20|False|13|194.80920853455854
317201|2015-08-15|('46.948', '7.445')|#job|16|False|13|194.30644838587213
361647|2015-09-02|('46.948', '7.445')|#job|15|False|13|192.31300834901137
