|hashtag|dayOfTweet|approxLocation|usersPerHashtag|spamEvent|std|compound|area
0|#ipad2|2011-03-25|('47.375', '8.539')|10|False|216.868536887|0.0420615385|ZH
1|#tedxzh|2011-10-04|('47.416', '8.561')|10|False|173.8029642552|0.2393806452|ZH
2|#bosw|2011-03-31|('47.365', '8.538')|9|False|143.1117430088|0.3377142857|ZH
3|#lift11|2011-02-03|('46.220', '6.138')|8|False|318.4301076142|0.2526818182|GE
4|#fec11|2011-09-09|('47.377', '8.537')|8|False|275.3290491862|0.3318458333|ZH
5|#lift11|2011-02-02|('46.220', '6.138')|8|False|269.8548303975|0.2658772727|GE
6|#lift11|2011-02-04|('46.232', '6.079')|7|False|227.9356199852|0.3583178571|GE
7|#ew11|2011-10-23|('47.408', '8.724')|7|False|195.8634472166|0.1275052632|ZH
8|#pokert|2011-02-08|('47.374', '8.525')|7|False|93.9433430128|0.0679818182|ZH
9|#pokert|2011-11-15|('47.377', '8.537')|5|False|203.7246054083|0.1691818182|ZH
10|#smgzh|2011-06-01|('47.365', '8.548')|4|False|67.990398315|0.1857833333|ZH
11|#som11|2011-03-31|('47.389', '8.519')|4|False|40.679216047|0.1990076923|ZH
12|#erugf|2011-07-31|('46.897', '7.408')|3|False|243.4642342665|-0.0189666667|BE
13|#pokert|2011-06-21|('47.374', '8.525')|3|False|230.329945819|0.0774307692|ZH
14|#fb|2011-03-27|('47.790', '7.350')|3|False|155.2666550379|0.036925|Grand Est
15|#smmk11|2011-03-24|('47.366', '8.538')|3|False|140.2309432418|0.1794136364|ZH
16|#chch|2011-07-31|('46.897', '7.408')|3|False|133.1100372749|0.07446|BE
17|#odch11|2011-06-24|('46.939', '7.443')|3|False|113.0573909556|0.20565|BE
18|#migipedia|2011-03-31|('47.365', '8.539')|3|False|76.5675337064|0.4304|ZH
19|#smgzh|2011-09-07|('47.365', '8.547')|3|False|47.7639356046|0.0692272727|ZH
20|#swlau|2011-03-20|('46.518', '6.568')|3|False|40.8660546749|0.36201875|VD
21|#pokert|2011-04-05|('47.374', '8.524')|3|False|15.5804764743|0.3309571429|ZH
22|#android|2011-08-02|('47.500', '8.750')|2|False|350.1440859502|-0.38065|ZH
23|#jan25|2011-01-30|('47.388', '8.618')|2|False|344.3840313519|0.0645296296|ZH
24|#egypt|2011-01-30|('47.388', '8.618')|2|False|316.4013332604|0.11435|ZH
25|#oasg|2011-07-02|('47.423', '9.322')|2|False|294.6179486157|0.1358388889|SG
26|#rhok|2011-06-04|('47.560', '7.613')|2|False|277.3900588716|0.4188|BS
27|#scs11|2011-02-19|('47.530', '7.588')|2|False|181.288561262|0.2729909091|BS
28|#fb|2011-08-12|('47.226', '8.819')|2|False|176.6654769884|0.2532666667|SG
29|#mdw11|2011-11-30|('46.209', '6.139')|2|False|163.7280262504|0.4383375|GE
30|#som11|2011-03-30|('47.390', '8.517')|2|False|146.6797177368|0.25104|ZH
31|#gdi|2011-01-26|('47.302', '8.553')|2|False|102.180682079|0.2275111111|ZH
32|#tedxrc2|2011-11-27|('46.205', '6.137')|2|False|83.9058859712|0.1755666667|GE
33|#ff|2011-12-30|('46.488', '6.563')|2|False|77.0044221933|0.1086142857|VD
34|#gch|2011-03-09|('47.365', '8.524')|2|False|50.7169620949|0.2059764706|ZH
35|#fcz|2011-10-30|('47.382', '8.505')|2|False|42.4027851736|0.068|ZH
36|#xf11|2011-08-24|('47.411', '8.553')|2|False|40.3873347706|0.17578|ZH
37|#chtd|2011-05-03|('47.562', '7.599')|2|False|38.060444617|0.50462|BS
38|#fcz|2011-10-02|('47.382', '8.504')|2|False|33.0208050588|-0.2744153846|ZH
39|#20peopleilove|2011-05-22|('47.366', '8.556')|2|False|25.0929926338|0|ZH
40|#missch|2011-09-24|('47.408', '8.724')|2|False|23.8705511012|-0.17555|ZH
