|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation|compound|area
0|#brexit|2016-06-24|186|False|261.68098468|('47.719', '8.623')|-0.0080125|SH
1|#euro2016|2016-06-27|96|False|165.8676103928|('46.954', '7.395')|-0.08888|BE
2|#suifra|2016-06-19|95|False|108.9328602745|('46.529', '6.652')|0.35|VD
3|#frapor|2016-07-10|87|False|174.9807049206|('46.205', '6.143')|-0.032|GE
4|#sui|2016-06-19|87|False|172.9716671165|('46.894', '7.055')|0.4306333333|VD
5|#euro2016|2016-06-10|84|False|303.1964272881|('45.800', '9.084')|0.07424|Lombardia
6|#fraisl|2016-07-03|81|False|108.7871477689|('47.563', '6.918')|0.02935|Bourgogne Franche-Comté
7|#eurovision|2016-05-14|78|False|110.3132419974|('46.205', '6.143')|0.28797|GE
8|#suipol|2016-06-25|75|False|86.3586526437|('47.377', '8.537')|0.0359714286|ZH
9|#frasui|2016-06-19|74|False|92.5316684076|('46.894', '7.055')|0.2612333333|VD
10|#euro2016|2016-06-19|73|False|156.8040823432|('47.560', '7.583')|-0.27115|BS
11|#euro2016|2016-07-10|68|False|190.3243955482|('46.205', '6.143')|-0.1858|GE
12|#euro2016|2016-07-07|64|False|258.899686324|('46.205', '6.143')|0|GE
13|#fra|2016-07-07|64|False|236.9376955118|('47.722', '7.283')|0.1891|Grand Est
14|#fraall|2016-07-07|64|False|136.8944914187|('46.316', '6.000')|0.2032428571|Auvergne-Rhône-Alpes
15|#euro2016|2016-06-11|62|False|224.4464379373|('47.560', '7.583')|0.1234|BS
16|#fraalb|2016-06-15|61|False|121.4708586371|('47.563', '6.918')|0.221975|Bourgogne Franche-Comté
17|#euro2016|2016-06-15|60|False|201.3951835772|('46.529', '6.652')|0.141825|VD
18|#porfra|2016-07-10|60|False|110.2472322107|('46.813', '8.224')|0|OW
19|#prayfornice|2016-07-15|59|False|291.5748072318|('46.410', '6.342')|0|VD
